building_name_recent,prediction_column,n_rows,actual_sum_kwh,pred_sum_kwh,mean_actual_kwh,mae_kwh,rmse_kwh,wape,nmae,bias_kwh_mean_pred_minus_actual,bias_pct_sum_pred_minus_actual
기계관,pred_lgbm_q50_kwh,70,136365.0,132586.66926205732,1948.0714285714287,303.38297140911413,386.00149419577673,0.1557350346396655,0.1557350346396655,-53.97615339918109,-0.027707481670096255
상경관,pred_lgbm_q50_kwh,70,145964.0,142946.66320920526,2085.2,360.4999512063392,514.9324526969698,0.1728850715549296,0.1728850715549296,-43.10481129706769,-0.020671787500991606
제1과학관,pred_lgbm_q50_kwh,70,183967.68181818182,180448.0352149615,2628.10974025974,238.72686387143736,408.06608008017196,0.09083595719554831,0.09083595719554831,-50.28066576029019,-0.0191318745142358
화공관,pred_lgbm_q50_kwh,70,176969.0,174958.58214222078,2528.1285714285714,195.1185121567679,248.26342605343947,0.07717903051367049,0.07717903051367049,-28.720255111131188,-0.011360282635824259
인문계식당,pred_lgbm_q50_kwh,70,28526.0,28293.555609589483,407.51428571428573,80.34856859856401,115.6537315539893,0.19716748937458742,0.19716748937458742,-3.320634148721687,-0.008148509794942091
사범대학,pred_lgbm_q50_kwh,70,65392.0,64929.82127614673,934.1714285714286,113.37635818925422,154.79145355974822,0.12136568805431544,0.12136568805431544,-6.602553197903863,-0.0070678175289526305
생활과학대,pred_lgbm_q50_kwh,70,77614.0,77188.71525696047,1108.7714285714285,139.8640478188523,183.5752561661372,0.12614326471151677,0.12614326471151677,-6.075496329136346,-0.0054794849259095545
건축관,pred_lgbm_q50_kwh,70,72933.0,72620.79739039108,1041.9,147.66042869777178,191.4995228699157,0.14172226576233013,0.14172226576233013,-4.4600372801274135,-0.004280676917292843
제3과학관,pred_lgbm_q50_kwh,70,62772.0,62796.57393494229,896.7428571428571,102.27026939350458,156.36526521842478,0.11404637191017207,0.11404637191017206,0.3510562134613175,0.0003914792414180244
전기관,pred_lgbm_q50_kwh,70,78682.33333333334,78749.47971104809,1124.0333333333335,139.21013501906066,205.78712974709094,0.12384876043331511,0.12384876043331512,0.9592339673534737,0.0008533856949854454
제1공장형실습장,pred_lgbm_q50_kwh,70,55797.0,56060.775770292144,797.1,79.6184535523871,109.30809527344714,0.09988515061145038,0.09988515061145037,3.7682252898877615,0.00472741850443829
섬유관,pred_lgbm_q50_kwh,70,76228.0,76657.66006556302,1088.9714285714285,110.22662077267039,150.07176326211794,0.10122085656303362,0.10122085656303363,6.138000936614333,0.00563651237816817
음대,pred_lgbm_q50_kwh,70,42136.0,42582.43436978949,601.9428571428572,55.89994899087867,82.2002641643449,0.09286587310996551,0.09286587310996551,6.377633854135556,0.010595081872733267
박물관,pred_lgbm_q50_kwh,70,42142.0,42848.005654887354,602.0285714285715,59.87695398034079,94.6876505098987,0.09945865831293853,0.09945865831293851,10.085795069819417,0.016753017295984034
제2공장형실습장,pred_lgbm_q50_kwh,70,29283.0,30004.55102584552,418.3285714285714,92.55348721736263,128.47388636849334,0.22124591418964534,0.22124591418964534,10.307871797793167,0.02464061147578874
제2인문관,pred_lgbm_q50_kwh,70,17786.0,18301.58931214201,254.0857142857143,31.677484310293618,47.85590725594543,0.12467243347130064,0.12467243347130064,7.365561602028679,0.028988491630608768
외국어교육원,pred_lgbm_q50_kwh,70,30950.0,32064.112471862725,442.14285714285717,65.16138913668482,99.73396814215369,0.14737632438022413,0.14737632438022413,15.915892455181819,0.03599717195033045
