report_month,model,prediction_method,prediction_column,n_rows,actual_sum_kwh,pred_sum_kwh,mean_actual_kwh,mae_kwh,rmse_kwh,wape,nmae,bias_kwh_mean_pred_minus_actual,bias_pct_sum_pred_minus_actual
2026-04,naive_seasonal_month_profile,pred_naive_seasonal_kwh,pred_naive_seasonal_kwh,272,287458.3333333333,292305.06666666665,1056.8321078431372,142.04473039215685,206.2878907097696,0.13440614581823454,0.1344061458182345,17.818872549019627,0.01686064647050299
2026-05,naive_seasonal_month_profile,pred_naive_seasonal_kwh,pred_naive_seasonal_kwh,527,552329.0,513962.0,1048.0626185958254,222.146110056926,295.2917795670581,0.2119588144022856,0.21195881440228562,-72.80265654648956,-0.06946403321208917
2026-06,naive_seasonal_month_profile,pred_naive_seasonal_kwh,pred_naive_seasonal_kwh,391,483719.6818181818,486714.8833333333,1237.134736107882,242.59702007285128,345.6424392993005,0.19609587621480873,0.19609587621480873,7.660361931333814,0.006192019112998058
2026-04,naive_last_week_same_weekday,pred_naive_last_week_same_weekday_kwh,pred_naive_last_week_same_weekday_kwh,272,287458.3333333333,299211.8888888889,1056.8321078431372,88.23039215686273,132.6320572788124,0.08348572256848819,0.08348572256848817,43.21160130718954,0.04088785814369232
2026-05,naive_last_week_same_weekday,pred_naive_last_week_same_weekday_kwh,pred_naive_last_week_same_weekday_kwh,527,552329.0,538858.4444444445,1048.0626185958254,154.32152646004639,241.20774929771383,0.14724456699620053,0.14724456699620053,-25.560826481130086,-0.024388644368764912
2026-06,naive_last_week_same_weekday,pred_naive_last_week_same_weekday_kwh,pred_naive_last_week_same_weekday_kwh,391,483719.6818181818,475495.0,1237.134736107882,212.80644036270633,352.80233500850477,0.17201557288110045,0.17201557288110045,-21.03499186235759,-0.017002991871795017
2026-04,current_realtime_uniform_daily,pred_realtime_uniform_daily_kwh,pred_realtime_uniform_daily_kwh,272,287458.3333333333,292305.06666666665,1056.8321078431372,142.04473039215685,206.2878907097696,0.13440614581823454,0.1344061458182345,17.818872549019627,0.01686064647050299
2026-05,current_realtime_uniform_daily,pred_realtime_uniform_daily_kwh,pred_realtime_uniform_daily_kwh,527,552329.0,513962.0,1048.0626185958254,222.146110056926,295.2917795670581,0.2119588144022856,0.21195881440228562,-72.80265654648956,-0.06946403321208917
2026-06,current_realtime_uniform_daily,pred_realtime_uniform_daily_kwh,pred_realtime_uniform_daily_kwh,391,483719.6818181818,486714.8833333333,1237.134736107882,242.59702007285128,345.6424392993005,0.19609587621480873,0.19609587621480873,7.660361931333814,0.006192019112998058
2026-04,current_weekday_recent_heuristic,pred_weekday_recent_kwh,pred_weekday_recent_kwh,272,287458.3333333333,287061.80111111107,1056.8321078431372,100.33703120136946,142.34434893080632,0.09494131608675747,0.09494131608675747,-1.4578390522875864,-0.0013794424312702368
2026-05,current_weekday_recent_heuristic,pred_weekday_recent_kwh,pred_weekday_recent_kwh,527,552329.0,535300.287608807,1048.0626185958254,165.23331594170793,236.07907846442478,0.15765595777386318,0.15765595777386318,-32.31254723186535,-0.0308307410822047
2026-06,current_weekday_recent_heuristic,pred_weekday_recent_kwh,pred_weekday_recent_kwh,391,483719.6818181818,474279.3509523809,1237.134736107882,195.77816078209938,303.1222248857247,0.15825128425221657,0.15825128425221657,-24.14406871048815,-0.019516118985105205
2026-04,lightgbm_quantile_q50_walk_forward,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,272,287458.3333333333,284780.1424679086,1056.8321078431372,78.32198859628473,121.31808941938147,0.07411015242158961,0.07411015242158961,-9.846289946414334,-0.009316796748832118
2026-05,lightgbm_quantile_q50_walk_forward,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,527,552329.0,542656.6140730401,1048.0626185958254,139.36717625129015,214.4400449862944,0.13297600141298013,0.13297600141298013,-18.353673485692298,-0.01751200086716403
2026-06,lightgbm_quantile_q50_walk_forward,pred_lightgbm_q50_kwh,pred_lightgbm_q50_kwh,391,483719.6818181818,489112.73389412405,1237.134736107882,166.44891850901706,293.98417299632564,0.13454388891599453,0.13454388891599453,13.79297206123324,0.011149126815909283
