feature,n_rows,pearson_r,pearson_pvalue,spearman_r,spearman_pvalue
month,1190,0.043638365631845914,0.13245262934640814,0.04572397767790667,0.11491558061472291
day,1190,0.001773851604596117,0.9512579125268814,0.02860518822878273,0.3241625239125698
ml_day_of_week,1190,0.04900506703769585,0.09107848912181303,0.05241898712624642,0.07066760037288626
ml_is_weekend,1190,0.05752648253591352,0.047254411757406876,0.07974063499457637,0.005918629263443612
ml_day_of_year,1190,0.050058519380266835,0.08432853075959403,0.054829648320173716,0.058643180369145446
pred_realtime_uniform_daily_kwh,1190,-0.07120279451399676,0.014019015246321603,-0.09523842779541904,0.0010039860266614499
pred_weekday_recent_kwh,1190,-0.036719191434985844,0.20559374581669554,-0.08125678508412218,0.005035439625064472
profile_monthly_kwh_mean,1190,-0.07336285752297414,0.011357421941507136,-0.09597646148439386,0.0009163790961591352
ml_lag_1d_kwh,1190,-0.0017826892879609577,0.9510153738910867,-0.0581687320861106,0.04483485747673199
ml_lag_3d_mean_kwh,1190,-0.02863740506533835,0.32361766403861286,-0.07811971563631631,0.007014899904742029
ml_lag_7d_mean_kwh,1190,-0.033764399908240594,0.2444818745290748,-0.07017201071160149,0.015472721066891997
ml_lag_7d_same_weekday_kwh,1190,-0.02986461881186203,0.3033067578881857,-0.06825681948029616,0.018528428837929954
