start_date,end_date,event_text,source_article_no
2024-01-08,2024-01-10,복학_재입학원서접수,230543336
2024-01-08,2024-01-10,휴학원서접수,230543337
2024-02-05,2024-02-07,추가재입학원서접수,230543338
2024-02-14,2024-02-16,수강신청,230543339
2024-02-20,2024-02-22,등록기간,230543340
2024-02-22,2024-02-22,학위수여식,230543341
2024-02-27,2024-02-29,추가복학원서접수,230543342
2024-02-29,2024-02-29,입학식,230543344
2024-03-01,2024-03-01,학기개시일,230543345
2024-03-04,2024-03-04,개강,230543346
2024-03-25,2024-03-27,추가휴학원서접수,230543343
2024-03-28,2024-03-28,수업일수(1/4),230543348
2024-03-28,2024-07-16,수강지도기간,230543347
2024-03-30,2024-03-30,학기개시일(30일),230543349
2024-04-23,2024-04-29,중간시험,230543350
2024-04-25,2024-04-25,수업일수(1/2),230543351
2024-04-29,2024-04-29,학기개시일(60일),230543352
2024-05-06,2024-05-31,교육실습,230543353
2024-05-27,2024-05-27,수업일수(3/4),230543354
2024-05-29,2024-05-29,학기개시일(90일),230543355
2024-06-10,2024-06-10,공휴일수업대체지정일(04.10.(수) 제 22대 국회의원 선거),230543356
2024-06-11,2024-06-11,공휴일수업대체지정일(05.01.(수) 근로자의날),230543357
2024-06-12,2024-06-12,공휴일수업대체지정일(05.06.(월) 어린이날 대체공휴일),230543358
2024-06-13,2024-06-13,공휴일수업대체지정일(05.15.(수) 부처님오신날),230543359
2024-06-14,2024-06-14,공휴일수업대체지정일(06.06.(목) 현충일),230543360
2024-06-17,2024-06-21,기말시험,230543361
2024-06-24,2024-06-24,방학,230543362
2024-07-03,2024-07-05,복학_재입학원서접수,230543363
2024-07-03,2024-07-05,휴학원서접수,230543364
2024-07-17,2024-07-19,예비수강신청(수강꾸러미),230543365
2024-08-05,2024-08-07,추가재입학원서접수,230543366
2024-08-12,2024-08-14,수강신청,230543367
2024-08-20,2024-08-22,등록기간,230543368
2024-08-22,2024-08-22,학위수여식,230543369
2024-08-28,2024-08-30,추가복학원서접수,230543370
2024-08-30,2024-08-30,신·편입생 수강신청,230543371
2024-09-01,2024-09-01,학기개시일,230543372
2024-09-02,2024-09-02,개강,230543373
2024-09-26,2024-09-30,추가휴학원서접수,230543374
2024-09-30,2024-09-30,학기개시일(30일),230543376
2024-09-30,2024-10-11,중간강의평가,230543375
2024-10-01,2025-01-21,수강지도기간,230543377
2024-10-02,2024-10-02,수업일수(1/4),230543378
2024-10-28,2024-11-01,중간시험,230543379
2024-10-30,2024-10-30,학기개시일(60일),230543380
2024-10-31,2024-10-31,수업일수(1/2),230543381
2024-11-25,2024-12-06,강의평가,230543382
2024-11-25,2024-12-20,학생설계전공 신청,230543383
2024-11-27,2024-11-27,수업일수(3/4),230543384
2024-11-29,2024-11-29,학기개시일(90일),230543385
2024-12-09,2024-12-09,공휴일수업대체지정일(09.16.(월) 추석연휴일),230543386
2024-12-10,2024-12-10,공휴일수업대체지정일(09.17.(화) 추석연휴일),230543387
2024-12-11,2024-12-11,공휴일수업대체지정일(09.18.(수) 추석연휴일),230543388
2024-12-12,2024-12-12,공휴일수업대체지정일(10.03.(목) 개천절),230543389
2024-12-13,2024-12-13,공휴일수업대체지정일(10.09.(수) 한글날),230543390
2024-12-16,2024-12-16,공휴일수업대체지정일(10.01.(화) 국군의날 임시공휴일),230543391
2024-12-17,2024-12-23,기말시험,230543392
2024-12-22,2024-12-22,개교기념일,230543393
2024-12-24,2024-12-24,방학,230543394
2025-01-02,2025-01-07,성적열람기간,230543395
2025-01-06,2025-01-07,성적정정기간,230543396
2025-01-06,2025-01-08,복학_재입학원서접수,230543397
2025-01-06,2025-01-08,휴학원서접수,230543398
2025-01-09,2025-01-10,전부(과) 원서접수,230543399
2025-01-10,2025-01-14,부전공/복수전공 신청,230543400
2025-01-17,2025-01-20,마이크로전공 신청,230543401
2025-01-21,2025-01-23,예비수강신청(수강꾸러미),230543402
2025-02-05,2025-02-07,추가재입학원서접수,230543403
2025-02-11,2025-02-13,수강신청,230543404
2025-02-18,2025-02-20,등록기간,230543405
2025-02-21,2025-02-21,학위수여식,230543406
2025-02-26,2025-02-28,추가복학원서접수,230543407
2025-02-28,2025-02-28,신·편입생 수강신청,230543408
2025-02-28,2025-02-28,입학식,230543410
2025-03-01,2025-03-01,학기개시일,230543411
2025-03-04,2025-03-04,개강,230543412
2025-03-25,2025-03-27,추가휴학원서접수,230543409
2025-03-28,2025-03-28,수업일수(1/4),230543413
2025-03-30,2025-03-30,학기개시일(30일),230543414
2025-04-22,2025-04-28,중간시험,230543415
2025-04-24,2025-04-24,수업일수(1/2),230543416
2025-04-29,2025-04-29,학기개시일(60일),230543417
2025-05-26,2025-05-26,수업일수(3/4),230543419
2025-05-26,2025-06-09,강의평가,230543418
2025-05-29,2025-05-29,학기개시일(90일),230543420
2025-06-10,2025-06-10,공휴일수업대체지정일(05.01.(목) 근로자의날),230543421
2025-06-11,2025-06-11,공휴일수업대체지정일(05.05.(월) 어린이날),230543422
2025-06-12,2025-06-12,공휴일수업대체지정일(05.06.(화) 부처님오신날 대체공휴일),230543423
2025-06-13,2025-06-13,공휴일수업대체지정일(06.06.(금) 현충일 대체공휴일),230543424
2025-06-16,2025-06-16,공휴일수업대체지정일(06.03.(화) 대통령 선거일),230543425
2025-06-17,2025-06-23,기말시험,230543426
2025-06-24,2025-06-24,방학,230543427
2025-07-07,2025-07-09,복학_재입학원서접수,230543428
2025-07-07,2025-07-09,부전공/복수전공 신청,230543430
2025-07-07,2025-07-09,휴학원서접수,230543429
2025-07-16,2025-07-18,마이크로전공 신청,230543431
2025-08-04,2025-08-06,추가재입학원서접수,230543432
2025-08-12,2025-08-14,수강신청,230543433
2025-08-19,2025-08-21,등록기간,230543434
2025-08-22,2025-08-22,학위수여식,230543435
2025-08-27,2025-08-29,추가복학원서접수,230543436
2025-09-01,2025-09-01,개강,230543437
2025-09-01,2025-09-01,학기개시일,230543438
2025-09-22,2025-09-24,추가휴학원서접수,230543439
2025-09-25,2025-09-25,수업일수(1/4),230543440
2025-09-26,2025-10-13,중간강의평가,230543441
2025-09-30,2025-09-30,학기개시일(30일),230543442
2025-10-20,2025-10-24,중간시험,230543443
2025-10-29,2025-10-29,수업일수(1/2),230543444
2025-10-30,2025-10-30,학기개시일(60일),230543445
2025-11-24,2025-12-05,강의평가,230543446
2025-11-24,2025-12-19,학생설계전공 신청,230543447
2025-11-25,2025-11-25,수업일수(3/4),230543448
2025-11-29,2025-11-29,학기개시일(90일),230543449
2025-12-08,2025-12-08,공휴일수업대체지정일(10.03.(금) 개천절),230543450
2025-12-09,2025-12-09,공휴일수업대체지정일(10.06.(월) 추석),230543451
2025-12-10,2025-12-10,공휴일수업대체지정일(10.07.(화) 추석연휴일),230543452
2025-12-11,2025-12-11,공휴일수업대체지정일(10.08.(수) 추석연휴 대체공휴일),230543453
2025-12-12,2025-12-12,공휴일수업대체지정일(10.09.(목) 한글날),230543454
2025-12-15,2025-12-19,기말시험,230543455
2025-12-22,2025-12-22,개교기념일,230543456
2025-12-22,2025-12-22,방학,230543457
2026-01-05,2026-01-07,복학_재입학원서접수,230543458
2026-01-05,2026-01-07,휴학원서접수,230543459
2026-01-12,2026-01-14,부전공/복수전공 신청,230543460
2026-01-13,2026-01-14,전부(과) 원서접수,230543461
2026-01-16,2026-01-19,마이크로전공 신청,230543462
2026-02-04,2026-02-06,추가재입학원서접수,230543463
2026-02-11,2026-02-13,수강신청,230543464
2026-02-19,2026-02-23,등록기간,230543465
2026-02-20,2026-02-20,학위수여식,230543466
2026-02-25,2026-02-27,추가복학원서접수,230543467
2026-02-26,2026-02-26,입학식,230543470
2026-03-01,2026-03-01,학기개시일,230543471
2026-03-03,2026-03-03,개강,230543472
2026-03-24,2026-03-26,추가휴학원서접수,230543468
2026-03-27,2026-03-27,수업일수(1/4),230543473
2026-03-30,2026-03-30,학기개시일(30일),230543475
2026-03-30,2026-04-08,중간강의평가,230543474
2026-04-21,2026-04-27,중간시험,230543476
2026-04-23,2026-04-23,수업일수(1/2),230543477
2026-04-29,2026-04-29,학기개시일(60일),230543478
2026-05-04,2026-05-29,교육실습,230543479
2026-05-22,2026-05-22,수업일수(3/4),230543482
2026-05-22,2026-06-05,강의평가,230543480
2026-05-22,2026-06-18,학생설계전공 신청,230543481
2026-05-29,2026-05-29,학기개시일(90일),230543483
2026-06-09,2026-06-09,공휴일수업대체지정일(05.01.(금) 근로자의날),230543484
2026-06-10,2026-06-10,공휴일수업대체지정일(05.05.(화) 어린이날),230543485
2026-06-11,2026-06-11,공휴일수업대체지정일(05.25.(월) 부처님오신날 대체공휴일),230543486
2026-06-12,2026-06-12,공휴일수업대체지정일(06.03.(수) 전국동시지방선거),230543487
2026-06-15,2026-06-19,기말시험,230543488
2026-06-22,2026-06-22,방학,230543489
2026-07-01,2026-07-03,복학_재입학원서접수,230543490
2026-07-01,2026-07-03,휴학원서접수,230543491
2026-07-07,2026-07-09,부전공/복수전공 신청,230543492
2026-07-14,2026-07-16,마이크로전공 신청,230543493
2026-08-11,2026-08-13,수강신청,230543494
2026-08-18,2026-08-20,등록기간,230543495
2026-08-21,2026-08-21,학위수여식,230543496
2026-09-01,2026-09-01,개강,230543497
2026-09-01,2026-09-01,학기개시일,230543498
2026-09-29,2026-09-29,수업일수(1/4),230543500
2026-09-29,2026-10-13,중간강의평가,230543499
2026-09-30,2026-09-30,학기개시일(30일),230543501
2026-10-20,2026-10-26,중간시험,230543502
2026-10-28,2026-10-28,수업일수(1/2),230543503
2026-10-30,2026-10-30,학기개시일(60일),230543504
2026-11-24,2026-11-24,수업일수(3/4),230543507
2026-11-24,2026-12-07,강의평가,230543505
2026-11-24,2026-12-18,학생설계전공 신청,230543506
2026-11-29,2026-11-29,학기개시일(90일),230543508
2026-12-08,2026-12-08,공휴일수업대체지정일(09.24.(목) 추석연휴일),230543509
2026-12-09,2026-12-09,공휴일수업대체지정일(09.25.(금) 추석연휴일),230543510
2026-12-10,2026-12-10,공휴일수업대체지정일(10.05.(월) 개천절 대체공휴일),230543511
2026-12-11,2026-12-11,공휴일수업대체지정일(10.09.(금) 한글날),230543512
2026-12-14,2026-12-18,기말시험,230543513
2026-12-21,2026-12-21,방학,230543514
2026-12-22,2026-12-22,개교기념일,230543515
2027-01-04,2027-01-06,복학_재입학원서접수,230543516
2027-01-04,2027-01-06,휴학원서접수,230543517
2027-02-10,2027-02-12,수강신청,230543518
2027-02-16,2027-02-18,등록기간,230543519
2027-02-22,2027-02-22,학위수여식,230543520
